day,hour,pearson,kendall,spearman,max_pearson_val,max_pearson_time,min_pearson_val,min_pearson_time,max_kendall_val,max_kendall_time,min_kendall_val,min_kendall_time,max_spearman_val,max_spearman_time,min_spearman_val,min_spearman_time
5,18,0.47,0.38,0.52,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,19,0.44,0.37,0.51,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,20,0.33,0.3,0.42,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,21,0.39,0.33,0.46,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,22,0.31,0.28,0.41,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
5,23,0.44,0.39,0.54,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,0,0.39,0.41,0.58,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,1,0.53,0.46,0.63,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,2,0.63,0.52,0.69,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,3,0.64,0.52,0.71,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,4,0.54,0.54,0.73,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,5,0.63,0.56,0.73,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,6,0.76,0.62,0.79,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,7,0.73,0.64,0.82,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,8,0.68,0.6,0.79,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,9,0.63,0.58,0.77,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,10,0.59,0.54,0.73,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,11,0.61,0.53,0.72,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,12,0.59,0.48,0.65,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,13,0.61,0.51,0.68,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,14,0.61,0.49,0.66,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,15,0.57,0.43,0.59,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,16,0.54,0.42,0.56,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,17,0.53,0.41,0.56,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,18,0.45,0.31,0.43,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,19,0.49,0.34,0.49,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,20,0.39,0.33,0.46,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,21,0.37,0.33,0.47,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,22,0.4,0.38,0.53,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
6,23,0.4,0.38,0.53,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
