day,hour,precinct,criminal,traffic
0,13,19,105,126371
0,13,41,95,8
0,13,14,234,149069
0,13,67,122,13
0,13,17,52,188133
0,13,61,81,11
0,13,102,86,281
0,13,110,107,341
0,13,108,68,4125
0,13,75,222,29
0,13,73,128,38
0,13,60,120,21
0,13,68,78,28
0,13,79,87,93
0,13,23,95,16857
0,13,42,106,6
0,13,115,104,41489
0,13,52,162,10
0,13,122,80,7
0,13,1,125,68647
0,13,72,77,56
0,13,109,121,118
0,13,24,85,29620
0,13,81,83,69
0,13,90,98,1273
0,13,112,56,208
0,13,43,147,43
0,13,84,119,4062
0,13,47,108,21
0,13,77,86,101
0,13,101,43,13
0,13,83,93,53
0,13,113,126,28652
0,13,120,99,70
0,13,70,103,98
0,13,69,68,8
0,13,66,65,57
0,13,114,130,2634
0,13,76,31,663
0,13,63,67,28
0,13,45,94,14
0,13,106,87,63
0,13,10,67,51348
0,13,78,71,925
0,13,6,65,60045
0,13,5,74,33442
0,13,94,51,1697
0,13,40,199,275
0,13,34,68,161
0,13,32,90,508
0,13,50,62,29
0,13,25,87,2329
0,13,100,43,9
0,13,18,130,103640
0,13,20,78,56681
0,13,111,40,48
0,13,107,73,75
0,13,30,50,907
0,13,49,91,19
0,13,88,59,459
0,13,26,49,5260
0,13,123,36,5
0,13,9,63,28642
0,13,104,82,63
0,13,33,72,800
0,13,62,94,6
0,13,22,10,31323
0,14,44,163,82
0,14,103,142,270
0,14,28,73,2741
0,14,105,114,40
0,14,13,136,97422
0,14,71,104,114
0,14,7,50,4326
0,14,46,134,19
0,14,48,162,11
0,14,19,108,134170
0,14,41,98,27
0,14,14,229,152026
0,14,67,150,17
0,14,17,35,200065
0,14,61,107,39
0,14,102,107,366
0,14,110,107,311
0,14,108,63,4265
0,14,75,280,22
0,14,73,177,27
0,14,60,115,27
0,14,68,77,47
0,14,79,115,106
0,14,23,67,18048
0,14,42,142,13
0,14,115,95,43894
0,14,52,156,27
0,14,122,92,8
0,14,1,138,72526
0,14,72,85,75
0,14,109,139,126
0,14,24,89,32096
0,14,81,81,77
0,14,90,115,1453
0,14,112,59,336
0,14,43,199,36
0,14,84,148,3763
0,14,47,145,25
0,14,77,96,136
0,14,101,78,23
0,14,83,105,66
0,14,113,121,34852
0,14,120,132,166
0,14,70,127,114
0,14,69,79,26
0,14,66,53,89
0,14,114,123,2717
0,14,76,40,606
0,14,63,71,16
0,14,45,102,9
0,14,106,114,87
0,14,10,46,53729
0,14,78,91,1041
0,14,6,61,64500
0,14,5,71,36149
0,14,94,55,1783
0,14,40,189,251
0,14,34,69,181
0,14,32,79,645
0,14,50,70,16
0,14,25,115,2521
0,14,100,54,4
0,14,18,141,110841
0,14,20,96,61340
0,14,111,42,29
0,14,107,72,80
0,14,30,72,889
0,14,49,106,27
0,14,88,72,490
0,14,26,62,5780
0,14,123,45,5
0,14,9,61,29484
