day,hour,sum,lat,long
0,16,3,40.6093,-74.1494
0,17,5,40.6093,-74.1494
0,18,3,40.6093,-74.1494
0,19,4,40.6093,-74.1494
0,20,2,40.6093,-74.1494
0,21,1,40.6093,-74.1494
0,22,2,40.6093,-74.1494
0,23,3,40.6093,-74.1494
1,0,1,40.6093,-74.1494
1,2,1,40.6093,-74.1494
1,3,1,40.6093,-74.1494
1,6,1,40.6093,-74.1494
1,11,1,40.6093,-74.1494
1,12,1,40.6093,-74.1494
1,13,1,40.6093,-74.1494
1,14,2,40.6093,-74.1494
1,15,1,40.6093,-74.1494
1,16,2,40.6093,-74.1494
1,17,1,40.6093,-74.1494
1,19,3,40.6093,-74.1494
1,20,1,40.6093,-74.1494
1,21,3,40.6093,-74.1494
1,22,2,40.6093,-74.1494
2,1,2,40.6093,-74.1494
2,8,2,40.6093,-74.1494
2,9,1,40.6093,-74.1494
2,10,1,40.6093,-74.1494
2,11,2,40.6093,-74.1494
2,13,3,40.6093,-74.1494
2,14,4,40.6093,-74.1494
2,15,3,40.6093,-74.1494
2,16,2,40.6093,-74.1494
2,17,5,40.6093,-74.1494
2,18,2,40.6093,-74.1494
2,19,2,40.6093,-74.1494
2,20,5,40.6093,-74.1494
2,21,1,40.6093,-74.1494
2,22,1,40.6093,-74.1494
2,23,1,40.6093,-74.1494
3,1,2,40.6093,-74.1494
3,5,1,40.6093,-74.1494
3,9,2,40.6093,-74.1494
3,10,1,40.6093,-74.1494
3,11,2,40.6093,-74.1494
3,14,3,40.6093,-74.1494
3,15,2,40.6093,-74.1494
3,16,7,40.6093,-74.1494
3,17,2,40.6093,-74.1494
3,18,1,40.6093,-74.1494
3,19,2,40.6093,-74.1494
3,22,5,40.6093,-74.1494
3,23,1,40.6093,-74.1494
4,2,3,40.6093,-74.1494
4,3,2,40.6093,-74.1494
4,6,1,40.6093,-74.1494
4,8,1,40.6093,-74.1494
4,9,4,40.6093,-74.1494
4,11,2,40.6093,-74.1494
4,12,4,40.6093,-74.1494
4,15,2,40.6093,-74.1494
4,16,1,40.6093,-74.1494
4,17,7,40.6093,-74.1494
4,18,3,40.6093,-74.1494
4,19,4,40.6093,-74.1494
4,20,3,40.6093,-74.1494
4,21,1,40.6093,-74.1494
4,23,1,40.6093,-74.1494
5,0,1,40.6093,-74.1494
5,1,2,40.6093,-74.1494
5,2,1,40.6093,-74.1494
5,3,1,40.6093,-74.1494
5,4,1,40.6093,-74.1494
5,5,1,40.6093,-74.1494
5,6,1,40.6093,-74.1494
5,7,1,40.6093,-74.1494
5,10,1,40.6093,-74.1494
5,11,2,40.6093,-74.1494
5,12,2,40.6093,-74.1494
5,13,4,40.6093,-74.1494
5,14,3,40.6093,-74.1494
5,15,3,40.6093,-74.1494
5,16,3,40.6093,-74.1494
5,17,4,40.6093,-74.1494
5,18,2,40.6093,-74.1494
5,19,2,40.6093,-74.1494
5,21,1,40.6093,-74.1494
5,22,1,40.6093,-74.1494
5,23,1,40.6093,-74.1494
6,0,2,40.6093,-74.1494
6,2,1,40.6093,-74.1494
6,4,1,40.6093,-74.1494
6,5,1,40.6093,-74.1494
6,10,1,40.6093,-74.1494
6,12,1,40.6093,-74.1494
6,14,1,40.6093,-74.1494
6,15,7,40.6093,-74.1494
6,16,4,40.6093,-74.1494
6,17,2,40.6093,-74.1494
6,18,3,40.6093,-74.1494
6,19,1,40.6093,-74.1494
6,20,2,40.6093,-74.1494
6,21,4,40.6093,-74.1494
6,22,1,40.6093,-74.1494
6,23,3,40.6093,-74.1494
0,0,1,40.6093,-74.1394
0,1,2,40.6093,-74.1394
0,2,2,40.6093,-74.1394
0,3,1,40.6093,-74.1394
0,4,2,40.6093,-74.1394
0,8,2,40.6093,-74.1394
0,9,1,40.6093,-74.1394
0,10,1,40.6093,-74.1394
0,11,2,40.6093,-74.1394
0,12,2,40.6093,-74.1394
0,13,1,40.6093,-74.1394
0,14,1,40.6093,-74.1394
0,15,2,40.6093,-74.1394
0,16,1,40.6093,-74.1394
0,17,1,40.6093,-74.1394
0,18,2,40.6093,-74.1394
0,19,3,40.6093,-74.1394
0,20,1,40.6093,-74.1394
0,22,1,40.6093,-74.1394
1,1,1,40.6093,-74.1394
1,7,1,40.6093,-74.1394
1,8,2,40.6093,-74.1394
1,10,1,40.6093,-74.1394
1,11,1,40.6093,-74.1394
1,12,3,40.6093,-74.1394
1,13,2,40.6093,-74.1394
1,14,1,40.6093,-74.1394
1,16,1,40.6093,-74.1394
1,17,3,40.6093,-74.1394
1,18,3,40.6093,-74.1394
1,21,3,40.6093,-74.1394
1,22,1,40.6093,-74.1394
1,23,1,40.6093,-74.1394
2,0,1,40.6093,-74.1394
2,2,1,40.6093,-74.1394
2,3,1,40.6093,-74.1394
2,7,3,40.6093,-74.1394
2,9,2,40.6093,-74.1394
2,12,1,40.6093,-74.1394
2,13,2,40.6093,-74.1394
2,16,3,40.6093,-74.1394
2,17,2,40.6093,-74.1394
2,18,3,40.6093,-74.1394
2,19,2,40.6093,-74.1394
2,22,1,40.6093,-74.1394
2,23,1,40.6093,-74.1394
3,0,1,40.6093,-74.1394
3,2,1,40.6093,-74.1394
3,5,1,40.6093,-74.1394
3,6,2,40.6093,-74.1394
3,7,3,40.6093,-74.1394
3,8,1,40.6093,-74.1394
3,9,3,40.6093,-74.1394
3,10,1,40.6093,-74.1394
3,12,3,40.6093,-74.1394
3,15,2,40.6093,-74.1394
3,16,3,40.6093,-74.1394
3,17,5,40.6093,-74.1394
3,19,1,40.6093,-74.1394
3,20,1,40.6093,-74.1394
3,21,1,40.6093,-74.1394
3,22,1,40.6093,-74.1394
3,23,1,40.6093,-74.1394
4,0,1,40.6093,-74.1394
4,1,1,40.6093,-74.1394
4,5,1,40.6093,-74.1394
4,10,1,40.6093,-74.1394
4,12,1,40.6093,-74.1394
4,13,5,40.6093,-74.1394
4,15,2,40.6093,-74.1394
4,17,3,40.6093,-74.1394
4,18,1,40.6093,-74.1394
4,20,1,40.6093,-74.1394
4,21,1,40.6093,-74.1394
4,22,2,40.6093,-74.1394
4,23,1,40.6093,-74.1394
5,0,1,40.6093,-74.1394
5,1,2,40.6093,-74.1394
5,3,1,40.6093,-74.1394
5,4,2,40.6093,-74.1394
5,5,1,40.6093,-74.1394
5,6,1,40.6093,-74.1394
5,8,1,40.6093,-74.1394
5,9,2,40.6093,-74.1394
5,14,1,40.6093,-74.1394
5,16,3,40.6093,-74.1394
5,17,1,40.6093,-74.1394
5,18,2,40.6093,-74.1394
5,21,3,40.6093,-74.1394
5,22,1,40.6093,-74.1394
5,23,2,40.6093,-74.1394
6,0,1,40.6093,-74.1394
6,1,2,40.6093,-74.1394
6,2,1,40.6093,-74.1394
6,4,3,40.6093,-74.1394
6,5,1,40.6093,-74.1394
6,9,1,40.6093,-74.1394
6,11,1,40.6093,-74.1394
6,12,2,40.6093,-74.1394
6,13,2,40.6093,-74.1394
6,14,1,40.6093,-74.1394
6,15,1,40.6093,-74.1394
6,16,1,40.6093,-74.1394
6,17,3,40.6093,-74.1394
6,19,1,40.6093,-74.1394
6,20,2,40.6093,-74.1394
6,22,2,40.6093,-74.1394
6,23,2,40.6093,-74.1394
0,0,1,40.6093,-74.1294
0,1,1,40.6093,-74.1294
0,2,3,40.6093,-74.1294
0,4,1,40.6093,-74.1294
0,7,2,40.6093,-74.1294
0,8,1,40.6093,-74.1294
0,9,1,40.6093,-74.1294
0,10,1,40.6093,-74.1294
0,11,3,40.6093,-74.1294
0,12,4,40.6093,-74.1294
0,13,1,40.6093,-74.1294
0,14,3,40.6093,-74.1294
0,15,2,40.6093,-74.1294
0,16,3,40.6093,-74.1294
0,17,5,40.6093,-74.1294
0,18,4,40.6093,-74.1294
0,19,3,40.6093,-74.1294
0,20,4,40.6093,-74.1294
0,21,1,40.6093,-74.1294
0,22,3,40.6093,-74.1294
0,23,1,40.6093,-74.1294
1,1,1,40.6093,-74.1294
