,day,hour,precinct,sum
8058,4,8,45,69
8059,4,8,106,84
8060,4,8,10,44
8061,4,8,78,40
8062,4,8,6,48
8063,4,8,5,44
8064,4,8,94,62
8065,4,8,40,154
8066,4,8,34,50
8067,4,8,32,76
8068,4,8,50,46
8069,4,8,25,84
8070,4,8,100,20
8071,4,8,18,64
8072,4,8,20,46
8073,4,8,111,42
8074,4,8,107,60
8075,4,8,30,67
8076,4,8,49,95
8077,4,8,88,55
8078,4,8,26,22
8079,4,8,123,40
8080,4,8,9,56
8081,4,8,104,69
8082,4,8,33,37
8083,4,8,62,77
8084,4,8,22,2
8085,4,9,44,110
8086,4,9,103,118
8087,4,9,28,48
8088,4,9,105,95
8089,4,9,13,115
8090,4,9,71,69
8091,4,9,7,44
8092,4,9,46,111
8093,4,9,48,109
8094,4,9,19,79
8095,4,9,41,109
8096,4,9,14,112
8097,4,9,67,119
8098,4,9,17,51
8099,4,9,61,85
8100,4,9,102,81
8101,4,9,110,62
8102,4,9,108,66
8103,4,9,75,183
8104,4,9,73,120
8105,4,9,60,61
8106,4,9,68,63
8107,4,9,79,89
8108,4,9,121,63
8109,4,9,23,62
8110,4,9,42,87
8111,4,9,115,79
8112,4,9,52,120
8113,4,9,122,57
8114,4,9,1,79
8115,4,9,72,51
8116,4,9,109,87
8117,4,9,24,60
8118,4,9,81,83
8119,4,9,90,81
8120,4,9,112,38
8121,4,9,43,154
8122,4,9,84,78
8123,4,9,47,110
8124,4,9,77,98
8125,4,9,101,46
8126,4,9,83,90
8127,4,9,113,132
8128,4,9,120,110
8129,4,9,70,80
8130,4,9,69,54
8131,4,9,66,61
8132,4,9,114,137
8133,4,9,76,35
8134,4,9,63,64
8135,4,9,45,71
8136,4,9,106,66
8137,4,9,10,48
8138,4,9,78,55
8139,4,9,6,46
8140,4,9,5,46
8141,4,9,94,64
8142,4,9,40,135
8143,4,9,34,76
8144,4,9,32,79
8145,4,9,50,51
8146,4,9,25,155
8147,4,9,100,48
8148,4,9,18,115
8149,4,9,20,55
8150,4,9,111,60
8151,4,9,107,43
8152,4,9,30,55
8153,4,9,49,110
8154,4,9,88,49
8155,4,9,26,38
8156,4,9,123,47
8157,4,9,9,64
8158,4,9,104,86
8159,4,9,33,61
8160,4,9,62,72
8161,4,9,22,1
8162,4,10,44,133
8163,4,10,103,107
8164,4,10,28,54
8165,4,10,105,123
8166,4,10,13,112
8167,4,10,71,82
8168,4,10,7,43
8169,4,10,46,106
8170,4,10,48,124
8171,4,10,19,83
8172,4,10,41,89
8173,4,10,14,138
8174,4,10,67,127
8175,4,10,17,45
8176,4,10,61,74
8177,4,10,102,67
8178,4,10,110,74
8179,4,10,108,72
8180,4,10,75,185
8181,4,10,73,108
8182,4,10,60,63
8183,4,10,68,58
8184,4,10,79,82
8185,4,10,121,74
8186,4,10,23,71
8187,4,10,42,88
8188,4,10,115,78
8189,4,10,52,99
8190,4,10,122,81
8191,4,10,1,64
8192,4,10,72,56
8193,4,10,109,119
8194,4,10,24,60
8195,4,10,81,81
8196,4,10,90,63
